asof,asof_quarter,horizon,target_quarter,call,grade,made_call,pred_delta,real_delta,pred_dir,real_dir,hit,conviction_pp,covid_target,consumer_stretched
2017-07-31,2017Q3,4,2018Q3,growth_yoy,call,True,-0.391335868034437,-0.16893220580334045,decelerating,decelerating,1.0,0.391335868034437,False,False
2017-07-31,2017Q3,4,2018Q3,growth_qoq,abstain,False,,0.09287228429846195,no call,accelerating,,,False,False
2017-07-31,2017Q3,4,2018Q3,inflation_yoy,call,True,0.26453685822356343,-0.07712161843226628,accelerating,decelerating,0.0,0.26453685822356343,False,False
2017-07-31,2017Q3,4,2018Q3,inflation_qoq,call,True,0.010166807354572427,-0.1425685698416279,accelerating,decelerating,0.0,0.010166807354572427,False,False
2017-08-31,2017Q3,0,2017Q3,growth_yoy,call,True,-0.6270891290037328,0.08040761841630051,decelerating,accelerating,0.0,0.6270891290037328,False,False
2017-08-31,2017Q3,0,2017Q3,growth_qoq,split,True,-0.00833791216603419,0.22865156824358746,decelerating,accelerating,0.0,0.00833791216603419,False,False
2017-08-31,2017Q3,0,2017Q3,inflation_yoy,call,True,-0.032187653321462006,0.053553896562756,decelerating,accelerating,0.0,0.032187653321462006,False,False
2017-08-31,2017Q3,0,2017Q3,inflation_qoq,call,True,0.2779412214503729,0.3626667512592441,accelerating,accelerating,1.0,0.2779412214503729,False,False
2017-08-31,2017Q3,1,2017Q4,growth_yoy,call,True,-0.4704202377235678,0.5833220845871789,decelerating,accelerating,0.0,0.4704202377235678,False,False
2017-08-31,2017Q3,1,2017Q4,growth_qoq,lean,True,0.023944442464274296,0.3385224962145772,accelerating,accelerating,1.0,0.023944442464274296,False,False
2017-08-31,2017Q3,1,2017Q4,inflation_yoy,call,True,0.07570799632856673,0.16312939955184613,accelerating,accelerating,1.0,0.07570799632856673,False,False
2017-08-31,2017Q3,1,2017Q4,inflation_qoq,call,True,0.31616846308759605,0.3174870925466866,accelerating,accelerating,1.0,0.31616846308759605,False,False
2017-08-31,2017Q3,2,2018Q1,growth_yoy,call,True,-0.028003746754445835,0.3346665979973462,decelerating,accelerating,0.0,0.028003746754445835,False,False
2017-08-31,2017Q3,2,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-08-31,2017Q3,2,2018Q1,inflation_yoy,call,True,-0.04830641838188643,0.1408517422751463,decelerating,accelerating,0.0,0.04830641838188643,False,False
2017-08-31,2017Q3,2,2018Q1,inflation_qoq,call,True,-0.05345455817125089,0.047111037814961954,decelerating,accelerating,0.0,0.05345455817125089,False,False
2017-08-31,2017Q3,3,2018Q2,growth_yoy,call,True,-0.22937106886713465,-0.029847248237091506,decelerating,decelerating,1.0,0.22937106886713465,False,False
2017-08-31,2017Q3,3,2018Q2,growth_qoq,abstain,False,,-0.2825846608052629,no call,decelerating,,,False,False
2017-08-31,2017Q3,3,2018Q2,inflation_yoy,call,True,0.5923610105888228,0.4382436799120235,accelerating,accelerating,1.0,0.5923610105888228,False,False
2017-08-31,2017Q3,3,2018Q2,inflation_qoq,call,True,0.04134948497378499,-0.2982312149923949,accelerating,decelerating,0.0,0.04134948497378499,False,False
2017-08-31,2017Q3,4,2018Q3,growth_yoy,call,True,0.12656059850837398,-0.16893220580334045,accelerating,decelerating,0.0,0.12656059850837398,False,False
2017-08-31,2017Q3,4,2018Q3,growth_qoq,abstain,False,,0.09287228429846195,no call,accelerating,,,False,False
2017-08-31,2017Q3,4,2018Q3,inflation_yoy,call,True,0.3225456037271832,-0.07712161843226628,accelerating,decelerating,0.0,0.3225456037271832,False,False
2017-08-31,2017Q3,4,2018Q3,inflation_qoq,call,True,0.011765251400563947,-0.1425685698416279,accelerating,decelerating,0.0,0.011765251400563947,False,False
2017-09-30,2017Q3,0,2017Q3,growth_yoy,call,True,-0.5345827662496694,0.08040761841630051,decelerating,accelerating,0.0,0.5345827662496694,False,False
2017-09-30,2017Q3,0,2017Q3,growth_qoq,split,True,-0.00833791216603419,0.22865156824358746,decelerating,accelerating,0.0,0.00833791216603419,False,False
2017-09-30,2017Q3,0,2017Q3,inflation_yoy,call,True,0.09893881876102584,0.053553896562756,accelerating,accelerating,1.0,0.09893881876102584,False,False
2017-09-30,2017Q3,0,2017Q3,inflation_qoq,call,True,0.4075043475073592,0.3626667512592441,accelerating,accelerating,1.0,0.4075043475073592,False,False
2017-09-30,2017Q3,1,2017Q4,growth_yoy,call,True,-0.4708454946204865,0.5833220845871789,decelerating,accelerating,0.0,0.4708454946204865,False,False
2017-09-30,2017Q3,1,2017Q4,growth_qoq,lean,True,0.023944442464274296,0.3385224962145772,accelerating,accelerating,1.0,0.023944442464274296,False,False
2017-09-30,2017Q3,1,2017Q4,inflation_yoy,call,True,0.3607799290471281,0.16312939955184613,accelerating,accelerating,1.0,0.3607799290471281,False,False
